Outreach Rank,Outreach Score /100,Company Name,Segment,Phone Number,Phone Type,Contact Channel,Best Time To Call,Ask For,Contact Approach,Location,Industry,Services,Google Reviews (verified),Google Rating (verified),Website,Web Dev Opportunity,Lead Score /100,Outreach Breakdown,Opening Line
1,99,HydroGreen Heating and Gas Engineering,domestic trade,07443 365157,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. Lead with their volume: 543 Google reviews means heavy inbound, so ask what happens to enquiries that arrive while they are under a boiler.","Erdington, Birmingham",Gas & Heating Engineering,"Boiler repair, gas safety certs, electrical",543,5.0,,"unconfirmed - all website lookups failed, verify manually",91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=29/30 (543 reviews, 98% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts HydroGreen Heating and Gas Engineering outside working hours, what happens to that enquiry?"
2,98,Pipe Guys (Bham) Ltd,domestic trade,07869 837241,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. Lead with their volume: 409 Google reviews means heavy inbound, so ask what happens to enquiries that arrive while they are under a boiler.","Castle Bromwich, Birmingham",Gas & Pipework Engineering,"Gas line install, boiler fitting, pipework",409,4.9,,"unconfirmed - all website lookups failed, verify manually",91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=28/30 (409 reviews, 94% of domestic trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts Pipe Guys (Bham) Ltd outside working hours, what happens to that enquiry?"
3,96,The Gas Pro,domestic trade,07830 448127,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. Lead with their volume: 259 Google reviews means heavy inbound, so ask what happens to enquiries that arrive while they are under a boiler.","Bishopsworth, Bristol",Gas Engineering,"Boiler installation, gas servicing",259,5.0,,"unconfirmed - all website lookups failed, verify manually",91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=26/30 (259 reviews, 86% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts The Gas Pro outside working hours, what happens to that enquiry?"
4,96,Blaymires Plumbing & Heating,domestic trade,07961 863549,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. Lead with their volume: 267 Google reviews means heavy inbound, so ask what happens to enquiries that arrive while they are under a boiler.","Beeston, Leeds",Gas & Heating Engineering,"Boiler installation, emergency repair",267,4.9,,"unconfirmed - all website lookups failed, verify manually",91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=26/30 (267 reviews, 88% of domestic trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts Blaymires Plumbing & Heating outside working hours, what happens to that enquiry?"
5,95,I-Fix Gas & Heating,domestic trade,07598 278491,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 187 reviews shows steady demand - ask how they handle enquiries while on a job.",Birmingham,Gas & Heating Engineering,"Boiler replacement, radiator work",187,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=25/30 (187 reviews, 82% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts I-Fix Gas & Heating outside working hours, what happens to that enquiry?"
6,95,Secure Gas 247,domestic trade,07515 314131,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 198 reviews shows steady demand - ask how they handle enquiries while on a job.","Roundhay, Leeds",Gas Engineering,"Emergency boiler repair, gas certs",198,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=25/30 (198 reviews, 84% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Secure Gas 247 outside working hours, what happens to that enquiry?"
7,94,Oil Tank Replacements Ltd,domestic trade,07875 639214,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 180 reviews shows steady demand - ask how they handle enquiries while on a job.","Cullompton, Devon",Oil Infrastructure Services,Oil tank replacement and decommissioning,180,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=24/30 (180 reviews, 81% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When a customer rings Oil Tank Replacements Ltd to order fuel out of hours, what happens to that enquiry?"
8,94,Gas Safety Manchester Limited,domestic trade,07546 245568,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 168 reviews shows steady demand - ask how they handle enquiries while on a job.",Manchester,Gas Engineering,"Gas safety certificates, appliance connection",168,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=24/30 (168 reviews, 79% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Gas Safety Manchester Limited outside working hours, what happens to that enquiry?"
9,92,SA Heating Services,domestic trade,07507 809262,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 153 reviews shows steady demand - ask how they handle enquiries while on a job.",Glasgow,Gas & Heating Engineering,"Boiler install, powerflushing",153,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=22/30 (153 reviews, 72% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts SA Heating Services outside working hours, what happens to that enquiry?"
10,91,Gas & Plumbing Services Leeds,domestic trade,07552 765263,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 144 reviews shows steady demand - ask how they handle enquiries while on a job.",Leeds,Gas & Heating Engineering,"Boiler repair, install, emergency plumbing",144,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=21/30 (144 reviews, 69% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Gas & Plumbing Services Leeds outside working hours, what happens to that enquiry?"
11,91,SHiNE / EPC Bristol,commercial trade,07722 287177,mobile,Direct mobile call,07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Owner-run commercial outfit. They decide on the spot. Lead on missed out-of-hours enquiries from commercial clients, where a lost call is a lost contract.","Redcliffe, Bristol",Energy Assessment,EPC certification,116,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[commercial trade]=20/25 demand=26/30 (116 reviews, 86% of commercial trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts SHiNE / EPC Bristol outside working hours, what happens to that enquiry?"
12,90,A+R Central Heating,domestic trade,0161 220 3712,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. Lead with their volume: 1581 Google reviews means heavy inbound, so ask what happens to enquiries that arrive while they are under a boiler.","Openshaw, Manchester",Gas & Heating Engineering,"Boiler repair, heating service contracts",1581,4.9,,"unconfirmed - all website lookups failed, verify manually",91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=30/30 (1581 reviews, 99% of domestic trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts A+R Central Heating outside working hours, what happens to that enquiry?"
13,90,Nottingham Plumbing and Heating Services,domestic trade,07795 350018,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 133 reviews shows steady demand - ask how they handle enquiries while on a job.","Carlton, Nottingham",Gas & Heating Engineering,"Boiler repair, gas pipe replacement",133,4.8,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=20/30 (133 reviews, 66% of domestic trade) reputation=20/20 (4.8 excellent)","Quick one. When someone contacts Nottingham Plumbing and Heating Services outside working hours, what happens to that enquiry?"
14,89,MCR Gas,domestic trade,0161 660 6063,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. Lead with their volume: 467 Google reviews means heavy inbound, so ask what happens to enquiries that arrive while they are under a boiler.","Bury, Manchester",Gas Engineering,"Boiler install, service, gas safety certs",467,4.9,,"unconfirmed - all website lookups failed, verify manually",91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=29/30 (467 reviews, 96% of domestic trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts MCR Gas outside working hours, what happens to that enquiry?"
15,89,Phil Humberstone Plumbing And Heating,domestic trade,07774 277203,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 114 reviews shows steady demand - ask how they handle enquiries while on a job.","Mapperley, Nottingham",Gas & Heating Engineering,Boiler install and servicing,114,4.8,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=19/30 (114 reviews, 62% of domestic trade) reputation=20/20 (4.8 excellent)","Quick one. When someone contacts Phil Humberstone Plumbing And Heating outside working hours, what happens to that enquiry?"
