Company Name,Website,Industry,Services,Location,Number of Employees,Annual Revenue,Managing Director / Owner,Email Address,Phone Number,LinkedIn Company Page,Company LinkedIn URL,Decision Maker LinkedIn,Companies House Number,Uses CRM (unverified),Online Booking (unverified),Live Chat (unverified),Website Outdated Score (unverified),Google Reviews (verified),Google Rating (verified),Automation Opportunity,Suggested AI Automation Package,Opening Line,Lead Score /100
The Gas Pro,,Gas Engineering,"Boiler installation, gas servicing","Bishopsworth, Bristol",,,,,07830 448127,,,,,,,,,259,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts The Gas Pro outside working hours, what happens to that enquiry?",90
Gas Safe (Bristol),,Gas & Renewable Engineering,"Gas, electrical, solar installation","Bedminster, Bristol",,,,,0117 964 0078,,,,,,,,,313,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Quote Automation; Email Automation,"Quick one. When someone contacts Gas Safe (Bristol) outside working hours, what happens to that enquiry?",90
Plumbco Heating,,Gas & Heating Engineering,"Boiler install, AC, heating systems",Bristol,,,,,0117 901 2266,,,,,,,,,286,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Plumbco Heating outside working hours, what happens to that enquiry?",90
"Gregor Heating, Electrical & Renewable Energy",,"Gas, Electrical & Renewable Engineering","Heating, EV, solar, service plans","Warmley, Bristol",,,,,0117 935 2400,,,,,,,,,340,4.6,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Quote Automation; Email Automation,"Quick one. When someone contacts Gregor Heating, Electrical & Renewable Energy outside working hours, what happens to that enquiry?",90
MCR Gas,,Gas Engineering,"Boiler install, service, gas safety certs","Bury, Manchester",,,,,0161 660 6063,,,,,,,,,467,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts MCR Gas outside working hours, what happens to that enquiry?",90
A+R Central Heating,,Gas & Heating Engineering,"Boiler repair, heating service contracts","Openshaw, Manchester",,,,,0161 220 3712,,,,,,,,,1581,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts A+R Central Heating outside working hours, what happens to that enquiry?",90
HydroGreen Heating and Gas Engineering,,Gas & Heating Engineering,"Boiler repair, gas safety certs, electrical","Erdington, Birmingham",,,,,07443 365157,,,,,,,,,543,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts HydroGreen Heating and Gas Engineering outside working hours, what happens to that enquiry?",90
Pipe Guys (Bham) Ltd,,Gas & Pipework Engineering,"Gas line install, boiler fitting, pipework","Castle Bromwich, Birmingham",,,,,07869 837241,,,,,,,,,409,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Pipe Guys (Bham) Ltd outside working hours, what happens to that enquiry?",90
Blaymires Plumbing & Heating,,Gas & Heating Engineering,"Boiler installation, emergency repair","Beeston, Leeds",,,,,07961 863549,,,,,,,,,267,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Blaymires Plumbing & Heating outside working hours, what happens to that enquiry?",90
Osprey Engineering Solutions Ltd,,Engineering Recruitment/Consultancy,Engineering recruitment and consultancy,Birmingham,,,,,0121 720 3356,,,,,,,,,306,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Osprey Engineering Solutions Ltd outside working hours, what happens to that enquiry?",90
